Date,Country,Indicator,Value
2020-03-22,UK,Deaths,281
2020-03-22,UK,Tests,78340
2020-03-22,Wales,ConfirmedCases,347
2020-03-22,Wales,Deaths,12
2020-03-23,England,ConfirmedCases,5585
2020-03-23,Northern Ireland,ConfirmedCases,148
2020-03-23,Northern Ireland,Deaths,2
2020-03-23,Northern Ireland,Tests,2692
2020-03-23,Scotland,ConfirmedCases,499
2020-03-23,Scotland,Deaths,14
2020-03-23,Scotland,Tests,9364
2020-03-23,UK,ConfirmedCases,6650
2020-03-23,UK,Deaths,335
2020-03-23,UK,Tests,83945
2020-03-23,Wales,ConfirmedCases,418
2020-03-23,Wales,Deaths,16
2020-03-24,England,ConfirmedCases,6843
2020-03-24,Northern Ireland,ConfirmedCases,172
2020-03-24,Northern Ireland,Deaths,5
2020-03-24,Northern Ireland,Tests,2989
2020-03-24,Scotland,ConfirmedCases,584
2020-03-24,Scotland,Deaths,16
2020-03-24,Scotland,Tests,9968
2020-03-24,UK,ConfirmedCases,8077
2020-03-24,UK,Deaths,422
2020-03-24,UK,Tests,90436
2020-03-24,Wales,ConfirmedCases,478
2020-03-24,Wales,Deaths,17
